frame,shell,status,psi_pi_fraction,signed_xor_distance_fraction,signed_xor_distance_vs_balance_capacity,observed_floor_ratio,observed_floor_proxy,continuous_coherence_capacity_proxy,continuous_coherence_deficit_proxy,continuous_coherence_identity_residual,spectral_floor_lower_bound,signed_laplacian_lambda_min,signed_laplacian_lambda_max,signed_frame_gap_lower_edge,signed_frame_gap_k_proxy,identity_error_op,schur_gap,schur_directional_gap_proxy,signed_carrier_reconciliation_status,signed_carrier_reconciliation_source,carrier_identification_status,carrier_identification_source,continuous_coherence_capacity_status,continuous_coherence_capacity_source,carrier_rank,carrier_id
0,3,ok,1.0,0.0,0.0,0.39615389234844123,0.0,0.20769221530311754,0.7923077846968825,0.0,0.0,0.5,2.000000000000001,0.5,-9.194064220889714e+25,9.194064220889718e+25,0.0,0.0,fail-closed,explicit,fail-closed,explicit,,,1.6175315223912248,continuous-coherence-positive-route
1,3,ok,1.0,0.0,0.0,0.40140549352454813,0.0,0.19718901295090374,0.8028109870490963,0.0,0.0,0.49999999999999994,2.0000000000000004,0.49999999999999994,-9.625629962109706e+25,9.62562996210971e+25,0.0,0.0,fail-closed,explicit,fail-closed,explicit,,,1.6175315223912248,continuous-coherence-positive-route
2,3,ok,1.0,0.0,0.0,0.41270032998927586,0.0,0.17459934002144828,0.8254006599785517,0.0,0.0,0.5,2.0,0.5,-9.601669341827127e+25,9.60166934182713e+25,0.0,0.0,fail-closed,explicit,fail-closed,explicit,,,1.6175315223912248,continuous-coherence-positive-route
3,3,ok,1.0,0.0,0.0,0.43018103212710845,0.0,0.1396379357457831,0.8603620642542169,0.0,0.0,0.5,1.9999999999999993,0.5,-9.173573813599807e+25,9.173573813599807e+25,0.0,0.0,fail-closed,explicit,fail-closed,explicit,,,1.6175315223912248,continuous-coherence-positive-route
4,3,ok,1.0,0.0,0.0,0.4543995960648761,0.0,0.09120080787024776,0.9087991921297522,0.0,0.0,0.4999999999999997,2.0000000000000004,0.4999999999999997,-8.438680641567938e+25,8.438680641567938e+25,0.0,0.0,fail-closed,explicit,fail-closed,explicit,,,1.6175315223912248,continuous-coherence-positive-route
5,3,ok,1.0,0.0,0.0,0.4862472372020205,0.0,0.02750552559595898,0.972494474404041,0.0,0.0,0.49999999999999967,1.9999999999999996,0.49999999999999967,-7.5127781450230885e+25,7.512778145023085e+25,0.0,0.0,fail-closed,explicit,fail-closed,explicit,,,1.6175315223912248,continuous-coherence-positive-route
8,3,ok,1.0,0.0,0.0,0.5661915763349605,0.0,0.0,1.0,0.0,0.0,0.5,2.000000000000001,0.5,-6.051118495633381e+25,6.051118495633381e+25,0.0,0.0,fail-closed,explicit,fail-closed,explicit,,,1.6175315223912248,continuous-coherence-positive-route
9,3,ok,1.0,0.0,0.0,0.55130792852704,0.0,0.0,1.0,0.0,0.0,0.5,2.0,0.5,-5.585809537267316e+25,5.5858095372673175e+25,0.0,0.0,fail-closed,explicit,fail-closed,explicit,,,1.6175315223912248,continuous-coherence-positive-route
10,3,ok,1.0,0.0,0.0,0.539799465902717,0.0,0.0,1.0,0.0,0.0,0.5,1.9999999999999996,0.5,-5.008292914349568e+25,5.008292914349569e+25,0.0,0.0,fail-closed,explicit,fail-closed,explicit,,,1.6175315223912248,continuous-coherence-positive-route
12,3,ok,1.0,0.0,0.0,0.002085674227622755,0.0,0.9958286515447545,0.004171348455245472,1.9081958235744878e-17,0.0,0.4999999999999998,2.0,0.4999999999999998,-3.998274146673354e+25,3.998274146673353e+25,0.0,0.0,fail-closed,explicit,fail-closed,explicit,,,1.6175315223912248,continuous-coherence-positive-route
